In,Out,date,weekday,hour,year,month,dayofyear,weekofyear,holiday
617,658,9,1,11,2013,7,190,28,0
721,615,9,1,12,2013,7,190,28,0
736,624,9,1,13,2013,7,190,28,0
782,636,9,1,14,2013,7,190,28,0
717,676,9,1,15,2013,7,190,28,0
761,725,9,1,16,2013,7,190,28,0
822,767,9,1,17,2013,7,190,28,0
711,571,9,1,18,2013,7,190,28,0
544,447,9,1,19,2013,7,190,28,0
403,368,9,1,20,2013,7,190,28,0
308,373,9,1,21,2013,7,190,28,0
168,210,9,1,22,2013,7,190,28,0
83,92,9,1,23,2013,7,190,28,0
50,54,10,2,0,2013,7,191,28,0
46,14,10,2,1,2013,7,191,28,0
21,10,10,2,2,2013,7,191,28,0
10,14,10,2,3,2013,7,191,28,0
10,16,10,2,4,2013,7,191,28,0
35,57,10,2,5,2013,7,191,28,0
106,139,10,2,6,2013,7,191,28,0
291,310,10,2,7,2013,7,191,28,0
410,554,10,2,8,2013,7,191,28,0
417,744,10,2,9,2013,7,191,28,0
541,732,10,2,10,2013,7,191,28,0
647,714,10,2,11,2013,7,191,28,0
753,659,10,2,12,2013,7,191,28,0
674,623,10,2,13,2013,7,191,28,0
745,636,10,2,14,2013,7,191,28,0
756,716,10,2,15,2013,7,191,28,0
841,751,10,2,16,2013,7,191,28,0
838,725,10,2,17,2013,7,191,28,0
715,566,10,2,18,2013,7,191,28,0
531,445,10,2,19,2013,7,191,28,0
366,356,10,2,20,2013,7,191,28,0
265,333,10,2,21,2013,7,191,28,0
176,198,10,2,22,2013,7,191,28,0
94,96,10,2,23,2013,7,191,28,0
45,32,11,3,0,2013,7,192,28,0
34,22,11,3,1,2013,7,192,28,0
20,17,11,3,2,2013,7,192,28,0
14,15,11,3,3,2013,7,192,28,0
13,21,11,3,4,2013,7,192,28,0
32,57,11,3,5,2013,7,192,28,0
97,130,11,3,6,2013,7,192,28,0
302,303,11,3,7,2013,7,192,28,0
401,546,11,3,8,2013,7,192,28,0
409,648,11,3,9,2013,7,192,28,0
551,816,11,3,10,2013,7,192,28,0
628,757,11,3,11,2013,7,192,28,0
775,587,11,3,12,2013,7,192,28,0
732,655,11,3,13,2013,7,192,28,0
737,720,11,3,14,2013,7,192,28,0
769,732,11,3,15,2013,7,192,28,0
791,791,11,3,16,2013,7,192,28,0
865,705,11,3,17,2013,7,192,28,0
742,569,11,3,18,2013,7,192,28,0
495,431,11,3,19,2013,7,192,28,0
329,341,11,3,20,2013,7,192,28,0
265,305,11,3,21,2013,7,192,28,0
178,233,11,3,22,2013,7,192,28,0
85,93,11,3,23,2013,7,192,28,0
56,51,12,4,0,2013,7,193,28,0
42,19,12,4,1,2013,7,193,28,0
21,18,12,4,2,2013,7,193,28,0
15,15,12,4,3,2013,7,193,28,0
16,16,12,4,4,2013,7,193,28,0
30,56,12,4,5,2013,7,193,28,0
85,148,12,4,6,2013,7,193,28,0
267,295,12,4,7,2013,7,193,28,0
379,512,12,4,8,2013,7,193,28,0
401,659,12,4,9,2013,7,193,28,0
510,786,12,4,10,2013,7,193,28,0
694,729,12,4,11,2013,7,193,28,0
859,663,12,4,12,2013,7,193,28,0
794,707,12,4,13,2013,7,193,28,0
777,768,12,4,14,2013,7,193,28,0
822,741,12,4,15,2013,7,193,28,0
827,764,12,4,16,2013,7,193,28,0
906,760,12,4,17,2013,7,193,28,0
808,543,12,4,18,2013,7,193,28,0
650,445,12,4,19,2013,7,193,28,0
419,356,12,4,20,2013,7,193,28,0
325,372,12,4,21,2013,7,193,28,0
200,209,12,4,22,2013,7,193,28,0
91,121,12,4,23,2013,7,193,28,0
69,40,13,5,0,2013,7,194,28,0
47,29,13,5,1,2013,7,194,28,0
21,14,13,5,2,2013,7,194,28,0
14,23,13,5,3,2013,7,194,28,0
16,23,13,5,4,2013,7,194,28,0
24,31,13,5,5,2013,7,194,28,0
46,97,13,5,6,2013,7,194,28,0
163,253,13,5,7,2013,7,194,28,0
214,442,13,5,8,2013,7,194,28,0
371,687,13,5,9,2013,7,194,28,0
534,766,13,5,10,2013,7,194,28,0
829,800,13,5,11,2013,7,194,28,0
972,724,13,5,12,2013,7,194,28,0
997,681,13,5,13,2013,7,194,28,0
1031,785,13,5,14,2013,7,194,28,0
1035,821,13,5,15,2013,7,194,28,0
1106,762,13,5,16,2013,7,194,28,0
951,791,13,5,17,2013,7,194,28,0
863,683,13,5,18,2013,7,194,28,0
592,569,13,5,19,2013,7,194,28,0
370,512,13,5,20,2013,7,194,28,0
296,577,13,5,21,2013,7,194,28,0
174,333,13,5,22,2013,7,194,28,0
101,185,13,5,23,2013,7,194,28,0
49,64,14,6,0,2013,7,195,28,0
34,30,14,6,1,2013,7,195,28,0
27,25,14,6,2,2013,7,195,28,0
23,23,14,6,3,2013,7,195,28,0
21,25,14,6,4,2013,7,195,28,0
17,35,14,6,5,2013,7,195,28,0
45,100,14,6,6,2013,7,195,28,0
98,200,14,6,7,2013,7,195,28,0
215,435,14,6,8,2013,7,195,28,0
379,657,14,6,9,2013,7,195,28,0
605,862,14,6,10,2013,7,195,28,0
868,1041,14,6,11,2013,7,195,28,0
984,868,14,6,12,2013,7,195,28,0
1032,914,14,6,13,2013,7,195,28,0
1018,875,14,6,14,2013,7,195,28,0
981,1078,14,6,15,2013,7,195,28,0
924,966,14,6,16,2013,7,195,28,0
941,837,14,6,17,2013,7,195,28,0
724,720,14,6,18,2013,7,195,28,0
544,601,14,6,19,2013,7,195,28,0
339,477,14,6,20,2013,7,195,28,0
236,345,14,6,21,2013,7,195,28,0
158,208,14,6,22,2013,7,195,28,0
72,96,14,6,23,2013,7,195,28,0
70,68,15,0,0,2013,7,196,29,0
33,19,15,0,1,2013,7,196,29,0
19,23,15,0,2,2013,7,196,29,0
17,22,15,0,3,2013,7,196,29,0
20,15,15,0,4,2013,7,196,29,0
23,48,15,0,5,2013,7,196,29,0
98,159,15,0,6,2013,7,196,29,0
251,267,15,0,7,2013,7,196,29,0
368,452,15,0,8,2013,7,196,29,0
378,597,15,0,9,2013,7,196,29,0
499,718,15,0,10,2013,7,196,29,0
647,691,15,0,11,2013,7,196,29,0
708,655,15,0,12,2013,7,196,29,0
736,631,15,0,13,2013,7,196,29,0
713,659,15,0,14,2013,7,196,29,0
748,661,15,0,15,2013,7,196,29,0
713,708,15,0,16,2013,7,196,29,0
825,706,15,0,17,2013,7,196,29,0
687,481,15,0,18,2013,7,196,29,0
470,402,15,0,19,2013,7,196,29,0
347,326,15,0,20,2013,7,196,29,0
235,311,15,0,21,2013,7,196,29,0
149,161,15,0,22,2013,7,196,29,0
79,90,15,0,23,2013,7,196,29,0
31,42,16,1,0,2013,7,197,29,0
14,15,16,1,1,2013,7,197,29,0
13,16,16,1,2,2013,7,197,29,0
17,7,16,1,3,2013,7,197,29,0
17,29,16,1,4,2013,7,197,29,0
32,65,16,1,5,2013,7,197,29,0
103,145,16,1,6,2013,7,197,29,0
273,276,16,1,7,2013,7,197,29,0
401,508,16,1,8,2013,7,197,29,0
391,733,16,1,9,2013,7,197,29,0
490,768,16,1,10,2013,7,197,29,0
648,712,16,1,11,2013,7,197,29,0
649,589,16,1,12,2013,7,197,29,0
696,664,16,1,13,2013,7,197,29,0
703,655,16,1,14,2013,7,197,29,0
740,719,16,1,15,2013,7,197,29,0
817,742,16,1,16,2013,7,197,29,0
765,743,16,1,17,2013,7,197,29,0
776,563,16,1,18,2013,7,197,29,0
588,465,16,1,19,2013,7,197,29,0
387,421,16,1,20,2013,7,197,29,0
281,339,16,1,21,2013,7,197,29,0
183,254,16,1,22,2013,7,197,29,0
113,121,16,1,23,2013,7,197,29,0
44,34,17,2,0,2013,7,198,29,0
20,16,17,2,1,2013,7,198,29,0
15,19,17,2,2,2013,7,198,29,0
14,14,17,2,3,2013,7,198,29,0
9,15,17,2,4,2013,7,198,29,0
28,55,17,2,5,2013,7,198,29,0
107,125,17,2,6,2013,7,198,29,0
289,317,17,2,7,2013,7,198,29,0
458,537,17,2,8,2013,7,198,29,0
415,657,17,2,9,2013,7,198,29,0
535,746,17,2,10,2013,7,198,29,0
616,712,17,2,11,2013,7,198,29,0
736,616,17,2,12,2013,7,198,29,0
